person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
22,59000,RENT,123.0,PERSONAL,D,35000,16.02,0.59,Y,3,1
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0.1,N,2,0
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,0.57,N,3,1
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,0.53,N,2,1
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,0.55,Y,4,1
21,9900,OWN,2.0,VENTURE,A,2500,7.14,0.25,N,2,1
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,0.45,N,3,1
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,0.44,N,4,1
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,0.42,N,2,1
21,10000,OWN,6.0,VENTURE,D,1600,14.74,0.16,N,3,1
22,85000,RENT,6.0,VENTURE,B,35000,10.37,0.41,N,4,1
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,0.45,N,2,1
23,95000,RENT,2.0,VENTURE,A,35000,7.9,0.37,N,2,1
26,108160,RENT,4.0,EDUCATION,E,35000,18.39,0.32,N,4,1
23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0.3,N,4,0
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0.06,N,3,0
23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0.29,N,4,0
23,92111,RENT,7.0,MEDICAL,F,35000,20.25,0.32,N,4,1
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,0.31,N,4,1
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,0.16,N,2,1
25,162500,RENT,2.0,VENTURE,A,35000,7.49,0.22,N,4,0
25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0.25,Y,2,0
22,65000,RENT,4.0,EDUCATION,D,34000,17.58,0.52,N,4,1
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0.14,N,3,0
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,0.42,Y,4,1
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,0.49,N,3,1
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,0.42,Y,3,1
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0.13,N,3,0
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,0.5,N,3,1
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,0.35,Y,2,1
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,0.17,N,3,1
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0.27,N,2,0
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,0.33,Y,3,1
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0.08,N,3,0
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0.03,N,4,0
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,0.21,N,4,1
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,0.63,N,2,1
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,0.47,Y,3,1
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,0.4,Y,4,1
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,,0.42,N,4,1
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,0.41,N,2,1
24,12000,OWN,4.0,VENTURE,B,2500,12.69,0.21,N,3,1
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0.07,N,4,0
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0.08,Y,2,0
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0.03,N,4,0
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0.08,N,3,0
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0.06,N,3,0
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,0.37,N,3,1
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,0.38,N,3,1
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,0.34,N,3,1
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,,0.38,Y,4,1
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,0.38,Y,3,1
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,0.33,Y,3,1
23,97000,RENT,7.0,VENTURE,B,30000,10.65,0.31,N,2,1
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0.25,N,4,0
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0.04,Y,3,0
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0.07,N,3,0
23,277000,OWN,3.0,PERSONAL,A,35000,,0.13,N,4,0
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0.23,N,4,0
24,12000,OWN,2.0,VENTURE,E,1750,,0.15,Y,3,0
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0.23,N,4,0
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0.04,N,2,0
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,,0.04,N,4,1
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,0.1,N,2,1
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,0.42,N,3,1
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0.13,Y,3,0
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0.11,N,3,0
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0.08,Y,2,0
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0.04,N,2,0
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0.1,N,4,0
25,12000,OWN,0.0,MEDICAL,C,3000,,0.25,N,3,1
22,56950,RENT,6.0,MEDICAL,A,28000,,0.49,N,2,1
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,0.25,Y,3,1
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,0.43,N,2,1
26,85000,RENT,2.0,VENTURE,A,28000,7.49,0.33,N,3,1
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,0.51,N,3,1
22,88000,RENT,6.0,VENTURE,B,28000,9.91,0.32,N,3,1
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,0.35,Y,4,1
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,0.4,N,2,1
24,83004,RENT,0.0,VENTURE,D,28000,15.99,0.34,Y,4,1
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0.07,Y,3,0
144,250000,RENT,4.0,VENTURE,C,4800,13.57,0.02,N,3,0
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0.28,N,3,0
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0.25,N,2,0
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,,0.23,N,4,1
22,108000,RENT,6.0,EDUCATION,B,28000,,0.26,N,4,1
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0.19,N,2,0
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,,0.4,N,2,1
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,0.27,Y,3,1
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,0.39,Y,3,1
22,240000,OWN,6.0,PERSONAL,B,25000,,0.1,N,2,0
26,73200,RENT,5.0,VENTURE,D,27050,15.62,0.37,Y,2,1
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,0.33,Y,2,1
24,73399,RENT,0.0,VENTURE,D,27000,,0.37,N,3,1
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,0.42,N,2,1
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0.21,N,3,0
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0.13,N,3,0
22,60000,RENT,0.0,VENTURE,B,25475,10.99,0.42,N,3,1
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0.09,Y,4,0
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0.09,N,4,0
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0.09,N,3,0
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,0.05,Y,3,1
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0.11,Y,2,0
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0.15,N,4,0
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,0.3,N,3,1
22,12600,MORTGAGE,,PERSONAL,A,2000,5.42,0.16,N,4,1
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0.14,N,3,0
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,0.59,Y,3,1
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,,0.61,N,3,1
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,0.23,Y,4,1
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,0.28,N,3,1
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0.09,N,4,0
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0.13,Y,2,0
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,0.16,N,2,1
24,225000,RENT,0.0,MEDICAL,B,6000,,0.03,N,4,0
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,0.35,N,4,1
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,0.18,Y,2,1
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,0.6,Y,2,1
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,0.52,N,4,1
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,0.28,N,3,1
22,12996,OWN,1.0,EDUCATION,B,4750,,0.37,N,3,1
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,0.59,Y,3,1
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,0.51,N,2,1
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0.11,N,2,0
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0.01,N,4,0
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0.03,N,2,0
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0.11,N,2,0
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,0.51,N,3,1
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,0.5,N,3,1
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,0.5,N,2,1
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,0.57,N,2,1
23,50000,RENT,1.0,VENTURE,B,25000,11.83,0.5,N,4,1
22,50004,RENT,0.0,VENTURE,B,25000,10.36,0.5,N,2,1
22,50004,RENT,3.0,VENTURE,C,25000,12.23,0.5,N,3,1
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,0.48,N,4,1
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,0.38,N,4,1
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0.11,N,2,0
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0.1,N,3,0
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0.12,N,3,0
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0.09,Y,2,0
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0.16,Y,3,0
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0.06,N,2,0
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,0.48,N,2,1
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,0.54,N,4,1
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,0.47,Y,4,1
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,0.53,Y,2,1
23,47000,RENT,1.0,VENTURE,E,25000,17.93,0.53,N,2,1
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0.11,N,4,0
21,13200,OWN,0.0,VENTURE,C,4500,12.98,0.34,N,4,1
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0.08,N,4,0
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0.1,N,4,0
26,48000,RENT,5.0,VENTURE,F,25000,18.43,0.52,N,2,1
22,54996,RENT,6.0,EDUCATION,B,25000,,0.45,N,4,1
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,,0.45,Y,4,1
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,0.45,N,3,1
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,0.45,Y,3,1
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,0.45,Y,4,1
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,0.45,N,2,1
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0.1,N,3,0
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,0.12,Y,3,1
